symbol,company,price,low,high,previous_close,esg_rating,symbol-2,dividend_yield,annualized_dividend,ex_div_date,pay_date
AXP,American Express Co,89.33,88.209,89.945,89.83,22,AXP,1.92,1.72,7/1/2020,8/10/2020
AAPL,Apple Inc,318.89,315.35,319.23,316.85,24,AAPL,1.06,3.28,5/8/2020,5/14/2020
BA,Boeing Co,137.53,135.777,141.08,139,39,BA,6.16,8.22,2/13/2020,3/6/2020
CAT,Caterpillar Inc,112.47,111.47,114.16,114.06,38,CAT,3.67,4.12,4/17/2020,5/20/2020
CSCO,Cisco Systems Inc,44.9,44.12,44.95,44.64,14,CSCO,3.35,1.44,4/2/2020,4/22/2020
CVX,Chevron Corp,90.28,89.465,91.6,92.04,40,CVX,5.4,5.16,5/18/2020,6/10/2020
XOM,Exxon Mobil Corp,44.6,43.45,44.67,44.56,34,XOM,7.87,3.48,5/12/2020,6/10/2020
GS,Goldman Sachs Group Inc,179.93,178.06,180.64,180.1,32,GS,2.7,5,5/29/2020,6/29/2020
HD,Home Depot Inc,241.88,238.655,242.34,240.88,13,HD,2.56,6,3/11/2020,3/26/2020
IBM,International Business Machines Corp,118.39,117.59,119.465,119.12,18,IBM,5.3,6.52,5/7/2020,6/10/2020
INTC,Intel Corp,62.255,61.42,62.32,61.98,16,INTC,2.21,1.32,5/6/2020,6/1/2020
JNJ,Johnson & Johnson,144.37,144.06,146.285,145.7,35,JNJ,2.74,4.04,5/22/2020,6/9/2020
KO,Coca-Cola Co,45.03,44.65,45.305,45.17,26,KO,3.68,1.64,6/12/2020,7/1/2020
JPM,JPMorgan Chase & Co,89.47,88.72,90.36,90.17,22,JPM,3.95,3.6,4/3/2020,4/30/2020
MCD,McDonaldâ€™s Corp,184.41,183.18,185.35,185.08,25,MCD,2.76,5,2/28/2020,3/16/2020
MMM,3M Co,146.44,144.6,146.64,145.81,34,MMM,4.03,5.88,2/13/2020,3/12/2020
MRK,Merck & Co Inc,76.37,76.07,76.66,76.55,28,MRK,3.23,2.44,3/13/2020,4/7/2020
MSFT,Microsoft Corp,183.51,182.54,184.46,183.43,16,MSFT,1.11,2.04,5/20/2020,6/11/2020
NKE,Nike Inc,93.75,93.35,94.65,94.26,17,NKE,1.11,0.98,5/29/2020,7/1/2020
PFE,Pfizer Inc,37.5,36.96,37.53,37.26,33,PFE,4.11,1.52,5/7/2020,6/5/2020
PG,Procter & Gamble Co,112.6,111.76,113.6,111.62,25,PG,2.82,3.1628,4/23/2020,5/15/2020
TRV,Travelers Companies Inc,100.1,98.2,100.22,99.17,24,TRV,3.55,3.4,6/9/2020,6/30/2020
UNH,UnitedHealth Group Inc,289.94,284.794,290.24,286.91,21,UNH,1.52,4.32,3/13/2020,3/24/2020
V,Visa Inc,190.86,189.23,191.37,190.62,18,V,0.66,1.2,5/13/2020,6/2/2020
WBA,Walgreens Boots Alliance Inc,39.6,39.339,40.07,39.75,17,WBA,4.5,1.83,5/19/2020,6/12/2020
WMT,Walmart Inc,124.33,123.77,125.35,124.99,29,WMT,1.77,2.16,8/13/2020,9/8/2020
DIS,Walt Disney Co,118.02,116.83,118.57,117.83,15,DIS,1.61,1.76,12/13/2019,1/16/2020
